season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2021-2022,SAS,8,0.2215713602023647,0.3865664323197294,0.6508372954725133,0.03756096316854297,0.2499999999375,0.27835615135957403,0.20117893135577106,0.402072637383533,0.591842555618939,-0.01724845299716006,10518.0,111.80153153153152,112.76702702702705,-0.9654954954955315
2021-2022,SAS,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3285.0,112.79999999999998,107.70000000000002,5.099999999999966
2021-2022,TOR,8,0.2528087283567536,0.42499381272459713,0.6952717513306698,0.0030240857456788773,0.499999999875,0.29282835467045987,0.2,0.3902323376007587,0.579611190137506,-0.11937951803580373,10545.0,114.09962067330487,107.21119013750591,6.88843053579896
2021-2022,TOR,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3500.0,109.6,107.8,1.7999999999999972
2021-2022,UTA,9,0.15601870374096835,0.3308493506411569,0.5613878351628868,0.10019739380221349,0.11111111108641974,0.23761651009906792,0.16085260671317914,0.32170521342635827,0.4729989562160083,0.24451557152140643,18203.0,118.70316321105793,108.22171717171719,10.481446039340739
2021-2022,UTA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,6815.0,119.7,111.5,8.200000000000003
2021-2022,WAS,11,0.1606052169739693,0.25127377465057216,0.4526704468075003,0.16645122281017338,0.09090909089256198,0.3112798352247486,0.18329631274988895,0.3571745890715238,0.4799644602398934,0.18927527801181718,11255.0,107.28522350993377,113.46523178807946,-6.180008278145692
2021-2022,WAS,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3275.0,101.4,107.5,-6.099999999999994
2022-2023,ATL,9,0.16973086097918053,0.3383326352832312,0.6347587730296187,0.21215480112715868,0.11111111108641974,0.30852076515262045,0.18835595022199983,0.36014007879432175,0.5276092802201238,0.4969645858084853,15991.0,117.2564039408867,113.72998768472907,3.5264162561576313
2022-2023,ATL,6,0.2,0.4999999999500001,0.8953411763810543,0.0,0.0,0.14922352941176462,0.2,0.4,0.6000000000000001,-0.17775781396389104,10625.0,116.81218823529412,110.91684705882352,5.895341176470595
