season,team,nr_hat_intact,drop_star,drop_role,drop_connector,RRS
2021-2022,MIA,4.611852971931916,0.9567003180174893,0.9567003180174893,0.9567003180174893,0.7926011681189977
2021-2022,MIL,4.166560003846878,-1.2647143982059204,-1.5919450223508926,-2.024679871905864,1.390423436251823
2021-2022,MIL,4.350230015271716,0.9043757266854491,0.9043757266854491,0.9043757266854491,0.7921563044216648
2021-2022,MIN,5.891382133067468,0.20175147208140576,0.5864219571089997,-0.2970845119260561,0.9722189935991871
2021-2022,MIN,4.776675434627842,0.9896648105566741,0.9896648105566741,0.9896648105566741,0.79285641645229
2021-2022,NOP,3.2545208368856886,-0.9515559659469077,-0.8016274307150906,-1.0767782193377724,1.289760252177957
2021-2022,NOP,4.227267225641421,0.8797831687593902,0.8797831687593902,0.8797831687593902,0.7919282008894486
2021-2022,NYK,4.516354641189193,-0.6521406008529782,-1.4334975299818105,-0.8914281291256296,1.2196762262007326
2021-2022,NYK,4.856406355018607,1.8842128052314076,1.852989275151451,-2.041961382883877,0.8836662631867669
2021-2022,OKC,1.5285311222350209,-1.827559247736839,-1.1541743581162716,-1.5250959089799858,1.9821810639257673
2021-2022,OKC,3.8191354132515096,0.7981568062814075,0.7981568062814075,0.7981568062814075,0.7910658340767937
