season,team,assort_salary_obs,assort_mu_null,assort_sd_null,assort_z,p_left,salary_gini,top1_share,top2_share,top3_share,n_nodes,n_edges
2023-2024,TOR,-0.23219990471143118,-0.090310309935381,0.20639061437917966,-0.6874808488886583,0.2948207171314741,0.31757332133284727,0.2641049450281571,0.4797330532866042,0.6849667809418236,7,19
2023-2024,CLE,-0.10288318977185502,-0.0799092931972263,0.10302060453598673,-0.22300292915291117,0.47808764940239046,0.31984817244486663,0.22768390718540624,0.4497219913224044,0.5836330239925988,9,33
2023-2024,ATL,-0.23311023232935135,-0.08736322218054661,0.10745416639101917,-1.3563644393130394,0.02390438247011952,0.4057323619294282,0.2961688860680981,0.4485696505202679,0.5970767587710573,9,34
2023-2024,ORL,0.04074216914303522,-0.06587308207493198,0.13059761857681118,0.8163644358894744,0.8047808764940239,0.25947238744223977,0.146624210137908,0.2898777487783928,0.39984590638182377,12,46
2023-2024,UTA,-0.05028480923842189,-0.10142681296169384,0.15345522530751407,0.3332698747845619,0.7211155378486056,0.4000290153625021,0.25780807202363965,0.4967702010250811,0.6730340071738403,8,21
2023-2024,GSW,0.026967644979990792,-0.08758968212459117,0.11600243474964628,0.9875424369481287,0.8446215139442231,0.3944823564419212,0.27403026540938014,0.5021588277705268,0.6647328852021668,8,26
2023-2024,PHI,-0.2504020018449944,-0.10199117516053582,0.1529451949534562,-0.9703529864381976,0.09163346613545817,0.4964172019916718,0.42148322830105517,0.7691545353128229,0.8728341851292085,6,15
2023-2024,NYK,0.04770610007470081,-0.10383084555879304,0.11986579627601551,1.2642217408254564,0.8924302788844621,0.3380360446504757,0.22014590431298522,0.4256277220768394,0.5710263142429827,9,28
2023-2024,DAL,-0.05027765720623115,-0.09070903750762187,0.1363374939300882,0.29655364152522357,0.6892430278884463,0.46220789187289363,0.3397813524431251,0.6538894150073298,0.7967744406987434,7,18
2023-2024,MIA,-0.11832612241031358,-0.0847243596143609,0.1346829866546258,-0.24948780562848177,0.5219123505976095,0.40214507945596034,0.2845180025329958,0.48979668889992367,0.6598124659232498,8,25
2023-2024,DET,0.017229390824187896,-0.10209837908198044,0.13596207136269603,0.8776548393988969,0.8764940239043825,0.205997422404016,0.23671353392055505,0.40752456880142274,0.5705631735838439,7,19
2023-2024,POR,0.15049167232590221,-0.07572179262458331,0.12602460529178822,1.7949944332436296,0.9402390438247012,0.4527767238717555,0.2527513799463692,0.46755645102419224,0.6552711508231985,9,29
2024-2025,NYK,-0.07571297090393092,-0.10898669114427734,0.11324240820780564,0.29382738116348983,0.7290836653386454,0.4176903168507651,0.2981349446427454,0.5201219426926638,0.6713530682188796,8,26
2024-2025,MIN,-0.03840456747394991,-0.07699037144983753,0.12099235368007784,0.31891109481111796,0.7131474103585658,0.3516797595327674,0.2410558857940918,0.47303009175665456,0.654939793155288,8,28
2024-2025,DET,-0.08988520711159127,-0.0672553641650503,0.12331461086715724,-0.18351307105789233,0.5258964143426295,0.26412040541800574,0.20075418350035193,0.32891266109139927,0.447627873774768,11,41
2024-2025,HOU,-0.17153788656336094,-0.10464948049951522,0.10790542843891626,-0.6198798988292817,0.32270916334661354,0.41711434241351014,0.40526163857245456,0.6157636247951186,0.7338336400544011,7,21
2024-2025,SAC,-0.27818956298101105,-0.09082715219490836,0.15841455820642006,-1.1827347998026956,0.00796812749003984,0.3976239077896845,0.30362535379028616,0.5797603442826516,0.7393050054560183,7,20
2024-2025,DEN,-0.18104625484180709,-0.12407766211834588,0.09827649070161426,-0.5796767092185706,0.32669322709163345,0.4525542032030619,0.3318430839851222,0.5642948751286574,0.7957382147318809,7,21
2024-2025,IND,0.266939217446412,-0.07958381375729992,0.1282579779446075,2.701765899922183,0.9681274900398407,0.49299204625453436,0.2782577844707265,0.556515568941453,0.687993368322739,10,37
2024-2025,BOS,0.33788025063963345,-0.07493985472155751,0.15826529755372776,2.608405707012601,0.9840637450199203,0.4270026555986767,0.26775729860900044,0.45738732960957307,0.620634730490567,9,29
2024-2025,LAC,-0.1025384385858389,-0.09430953305807523,0.11319737312824896,-0.07269519866367033,0.6095617529880478,0.4614198271961514,0.35879370740683714,0.6041873027723988,0.7444895782567942,8,25
2024-2025,OKC,-0.09576337207341698,-0.112182969862425,0.1205511577159551,0.13620439737041914,0.6852589641434262,0.36218073238958265,0.3076420414282709,0.5650116485484182,0.7065649324644993,7,21
2024-2025,MIL,-0.14472093443869882,-0.09426684845991687,0.12822305311964244,-0.3934868555321657,0.4581673306772908,0.5271499446590261,0.2942610031972357,0.5885220063944714,0.7360278036395131,9,29
2024-2025,ATL,-0.20144533729393282,-0.07204348752566424,0.14350895967630492,-0.9016987514935934,0.1553784860557769,0.41963289957691796,0.3324369194426319,0.5044440632927033,0.6328037670921693,9,29
2024-2025,CHI,-0.18698366126388932,-0.10743864256020384,0.1607077470411168,-0.49496692081268506,0.41832669322709165,0.24488420056337393,0.22888992825262086,0.43489086367997964,0.6275058239897794,7,18
2024-2025,CLE,0.2080465642345291,-0.0840414582142507,0.13078236440902472,2.233389981658904,0.9601593625498008,0.4288140303262613,0.26297703360529545,0.5165353290113133,0.6597468938951101,9,28
2024-2025,POR,0.205690848440709,-0.07682734130482735,0.11846822322923378,2.3847592379170655,0.9601593625498008,0.3849965712037148,0.25974436879655904,0.4873156765155846,0.6850953817813309,8,27
2024-2025,MEM,-0.01039998305975188,-0.12617569907880813,0.14083499477691327,0.8220663919677659,0.8247011952191236,0.3976587655176435,0.31823912066013055,0.6129049731232143,0.8317714887056722,6,14
2024-2025,WAS,-0.3508378565883529,-0.12385235023168874,0.21815890803979804,-1.0404594907270803,0.15139442231075698,0.5099108423245242,0.6318511849735107,0.7798476032643153,0.901434595099308,5,9
2024-2025,NOP,0.35998424604939405,-0.10506561775333327,0.17836728057392795,2.607259931902017,0.9800796812749004,0.4021746905709683,0.39597741664742614,0.7466209860778615,0.9007713766866203,5,10
2024-2025,GSW,-0.2635000606126881,-0.11401215662875619,0.16278879681426547,-0.9182935614082259,0.21115537848605578,0.5045758218242261,0.39863004079963843,0.7474857508953145,0.9198247364305783,6,12
2024-2025,ORL,-0.13865856985765104,-0.10594580700153716,0.12053859117689718,-0.27138829595333547,0.4581673306772908,0.25149618846954325,0.2576506663417757,0.4037021492177658,0.5413845424703503,8,24
2024-2025,LAL,-0.25157567813403947,-0.09484853286975746,0.17770720674415885,-0.8819402889491061,0.2908366533864542,0.3876207934250521,0.3502516006079701,0.659555173517735,0.7817472182981005,6,15
2024-2025,UTA,-0.28620678014882867,-0.1669537325633695,0.13290489137103942,-0.897281103466181,0.055776892430278883,0.4287191582696557,0.4479392398954422,0.7302351446293895,0.9251234009073404,5,10
2024-2025,MIA,-0.14444211924033512,-0.05535444179858269,0.1386271462808555,-0.6426423671829958,0.2868525896414343,0.43384578496300263,0.2815793883313082,0.5159033837241429,0.7172937556549854,8,26
2024-2025,SAS,-0.18092047065248124,-0.07214988455576014,0.12146919645763339,-0.8954581842044096,0.15139442231075698,0.4168305759249199,0.24498944080362953,0.4513093826012078,0.5848824416125972,10,39
2024-2025,TOR,-0.21653507312893056,-0.1365250913255604,0.15923366730196115,-0.5024690014307341,0.40239043824701193,0.3578621240238107,0.3999190352358895,0.7022461962320641,0.8593164742581678,5,10
2024-2025,DAL,-0.3367185398090615,-0.16392342751844688,0.29355025203452123,-0.5886389505477042,0.4900398406374502,0.24248943441952653,0.47803835817096274,0.6631093461675828,0.8438311645005077,4,6
